"Favorite Type","Item Reference","Item Description","Last Modified",Preference
Song,1726659242,"Alicia Creti - Guilt Trip",2025-04-27T00:24:16Z,LIKE
Song,1439806292,"Aya Nakamura - Copines",2025-04-20T01:05:59.131Z,NEUTRAL
Song,1200061316,"Shakira - Chantaje (feat. Maluma) [Versión Salsa]",2025-04-19T18:34:04.468Z,NEUTRAL
Song,1510639902,"Kehlani - Toxic",2025-04-18T14:07:06.090Z,NEUTRAL
Song,1363300718,"Tinashe - Faded Love (feat. Future)",2025-02-15T05:06:03Z,DISLIKE
Song,1776500456,"Tyler, The Creator - Darling, I (feat. Teezo Touchdown)",2025-02-12T11:54:16Z,LIKE
Song,1776500466,"Tyler, The Creator - Balloon (feat. Doechii)",2025-02-08T00:38:35Z,LIKE
Song,1787022999,"Bad Bunny, Omar Courtz & Dei V - VeLDÁ",2025-01-23T21:54:52Z,LIKE
Song,1787022572,"Bad Bunny - NUEVAYoL",2025-01-18T19:27:55Z,LIKE
Song,1767862966,"Charli xcx & A. G. Cook - So I featuring a. g. cook",2025-01-07T03:10:53Z,LIKE
Song,1767862944,"Charli xcx, Robyn & Yung Lean - 360 featuring robyn & yung lean",2024-11-05T20:02:26Z,LIKE
Song,1623929723,"TV Girl - Birds Dont Sing",2024-02-13T04:09:11Z,LIKE
Song,724693357,"KT Tunstall - Suddenly I See",2024-02-12T20:23:20Z,LIKE
Song,1615473508,"Kris Bowers - Material Girl",2024-01-03T04:03:11Z,LIKE
Song,1507810181,"Tate McRae - you broke me first",2023-12-31T22:33:09Z,LIKE
Song,1590029284,"Summer Walker, JT & City Girls - Ex For A Reason",2023-11-27T04:55:51Z,LIKE
Song,1481606159,"Summer Walker & Bryson Tiller - Playing Games (Extended Version)",2022-12-01T05:13:03Z,LIKE
Song,1592641432,"Megan Thee Stallion - Tuned In Freestyle",2022-11-29T02:22:54.426Z,LIKE
Song,1492530278,"Kehlani - All Me (feat. Keyshia Cole)",2022-09-23T19:40:35Z,LIKE
Song,1381915969,"Selena Gomez - Back To You",2022-07-25T02:18:36Z,LIKE
Song,217363246,"Destiny's Child - Independent Women, Pt. 1",2022-06-01T20:50:13Z,LIKE
Song,1399202964,"Ariana Grande - get well soon",2022-05-05T20:47:19Z,LIKE
Song,1580491304,"Rich Brian & EARTHGANG - Act Up",2021-10-15T02:17:18Z,DISLIKE
Song,1582660725,"Lil Nas X - THATS WHAT I WANT",2021-09-18T14:57:46Z,LIKE
Song,1168829691,"Alessia Cara - How Far I'll Go (Alessia Cara Version)",2019-02-05T03:26:42.686Z,LIKE
Artist,904687727,SOPHIE,2025-05-05T16:11:11Z,LIKE
Artist,1310973207,"Esther Abrami",2025-04-24T18:13:31Z,LIKE
Artist,1438471446,"Tanner Adell",2025-03-18T16:11:26Z,LIKE
Artist,1487253329,"Olivia Dean",2025-02-14T03:50:58Z,LIKE
Artist,1126808565,"Bad Bunny",2025-01-08T05:58:09Z,LIKE
Artist,1107186883,"Rauw Alejandro",2025-01-08T05:55:29Z,LIKE
Artist,1121723557,"Kiana Ledé",2024-12-28T06:45:25Z,LIKE
Artist,935348123,thủy,2024-12-28T06:40:52Z,LIKE
Artist,1264818718,"Chappell Roan",2024-12-15T04:46:20Z,LIKE
Artist,1437641643,Doechii,2024-12-13T08:16:21Z,LIKE
Artist,368183298,"Kendrick Lamar",2024-11-22T18:05:59Z,LIKE
Artist,1446365464,"Tate McRae",2024-11-22T00:12:33Z,LIKE
Artist,1324809450,NIKI,2024-11-18T03:16:23Z,LIKE
Artist,464835513,Tinashe,2024-10-28T02:56:47Z,LIKE
Artist,1671882511,Genia,2024-10-11T06:34:11Z,LIKE
Artist,1593954404,"Alicia Creti",2024-08-11T04:33:46Z,LIKE
Artist,481488005,"A$AP Rocky",2024-08-04T08:23:53Z,LIKE
Artist,1042004371,"Aya Nakamura",2024-08-02T11:22:29Z,LIKE
Artist,432942256,"Charli xcx",2024-07-07T05:31:44Z,LIKE
Artist,1258989914,"Megan Thee Stallion",2024-07-03T05:57:22Z,LIKE
Artist,1361068,"Pharrell Williams",2024-06-24T04:51:53Z,LIKE
Artist,1504424880,Laufey,2024-06-22T04:09:04Z,LIKE
Artist,1437540157,"BETWEEN FRIENDS",2024-05-29T02:21:54Z,LIKE
Artist,1065014087,"Dina Ayada",2024-05-12T06:08:20Z,LIKE
Artist,1552521489,PinkPantheress,2024-04-23T05:15:29Z,LIKE
Artist,1635469693,NewJeans,2024-03-24T05:35:25Z,LIKE
Artist,320569549,"Justin Bieber",2024-02-04T20:04:59Z,LIKE
Artist,894731301,"Kali Uchis",2024-01-14T18:29:14Z,LIKE
Artist,605800394,SZA,2023-12-07T04:29:50Z,LIKE
Artist,670534462,"Metro Boomin",2023-12-03T08:29:49Z,LIKE
Artist,690126399,Kehlani,2023-11-27T04:58:56.759Z,LIKE
Artist,909253,"Jack Johnson",2023-11-11T19:50:48.846Z,LIKE
Artist,634287,"Destiny's Child",2023-11-10T17:40:20.655Z,LIKE
Artist,979458609,"Olivia Rodrigo",2023-06-30T15:21:47.331Z,LIKE
Artist,1104179033,"Dominic Fike",2023-06-15T17:38:28.334Z,LIKE
Artist,1042737453,Mahalia,2023-04-14T17:58:54.678Z,LIKE
Artist,830588310,"Doja Cat",2023-04-14T11:12:20.072Z,LIKE
Artist,340927729,"Big Time Rush",2023-01-24T03:05:39.138Z,LIKE
Artist,899691789,"Michelle Odinma",2023-01-14T15:35:20.870Z,LIKE
Artist,889327,Shakira,2023-01-08T20:31:03.153Z,LIKE
Artist,412778295,"Ariana Grande",2023-01-04T18:42:14.020Z,LIKE
Artist,1088331223,"Jorja Smith",2022-12-13T16:18:55.937Z,LIKE
Artist,313845115,ROSALÍA,2022-11-29T22:00:05.264Z,LIKE
Artist,960127446,"Brent Faiyaz",2022-11-11T03:41:18.105Z,LIKE
Artist,32940,"Michael Jackson",2022-10-12T01:49:18.353Z,LIKE
Artist,420368335,"Tyler, The Creator",2022-09-28T01:42:08.167Z,LIKE
