"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2025-04-30T17:51:43.424Z,Playlist,"jim baddie","Doechii & JT - Alter Ego",false,"United States",256007685,1738071720,"library / playlist_detail",2025-04-30T17:51:43.424Z,PLAYBACK_MANUALLY_PAUSED,2025-05-05T16:20:05.152Z,2025-05-05T16:20:05.278Z,2025-05-05T16:19:56.641Z,204094,204094,204094,AUDIO,0,1,0,212605
2025-04-30T17:46:27.845Z,Playlist,"jim baddie","JENNIE & Doechii - ExtraL",false,"United States",256007685,1797383525,"library / playlist_detail",2025-04-30T17:46:27.845Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2025-05-05T16:19:55.920Z,2025-05-05T16:19:56.828Z,2025-05-05T16:19:22.101Z,167814,167814,167754,AUDIO,0,2,1,201633
2025-04-30T18:01:39.713Z,Playlist,"jim baddie","Nelly Furtado - Maneater",false,"United States",256007685,1800675817,"library / playlist_detail",2025-04-30T18:01:39.713Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2025-05-05T16:19:21.513Z,2025-05-05T16:19:21.758Z,2025-05-05T16:19:18.985Z,110912,109676,265474,AUDIO,0,3,3,114316
2025-04-25T05:43:26.616Z,Playlist,"jim baddie","JENNIE - like JENNIE",false,"United States",256007685,1795979745,"library / playlist_detail",2025-04-25T05:43:26.616Z,NATURAL_END_OF_TRACK,2025-05-05T16:19:18.885Z,2025-05-05T16:19:18.981Z,2025-05-05T16:17:15.367Z,123662,123518,123518,AUDIO,0,3,1,325980
2025-04-30T17:26:00.029Z,Playlist,"jim baddie","LE SSERAFIM - CRAZY",false,"United States",256007685,1763658321,"library / playlist_detail",2025-04-30T17:26:00.029Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2025-05-05T16:17:14.346Z,2025-05-05T16:17:14.620Z,2025-05-05T16:15:18.841Z,115505,115505,164554,AUDIO,0,2,2,202496
2025-05-05T16:14:32.068Z,Playlist,"jim baddie","LISA - Rockstar",false,"United States",256007685,1752761265,"library / playlist_detail",2025-05-05T16:14:32.068Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2025-05-05T16:15:18.290Z,2025-05-05T16:14:33.060Z,2025-05-05T16:14:32.695Z,46222,46222,138213,AUDIO,0,2,1,46222
2025-05-05T16:13:59.993Z,N/A,N/A,"Kim Petras - 1,2,3 dayz up (feat. SOPHIE)",false,"United States",N/A,1579995656,"search / search_landing / artist_detail",2025-05-05T16:13:59.993Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2025-05-05T16:14:31.584Z,2025-05-05T16:14:31.876Z,2025-05-05T16:13:59.993Z,31591,31591,213678,AUDIO,0,1,1,31591
2025-05-05T16:13:45.855Z,N/A,N/A,"SOPHIE - Is It Cold In The Water?",false,"United States",N/A,1709023358,"search / search_landing / artist_detail",2025-05-05T16:13:45.855Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2025-05-05T16:13:57.565Z,2025-05-05T16:13:59.740Z,2025-05-05T16:13:45.855Z,11710,11710,212213,AUDIO,0,1,1,11710
2025-05-05T16:12:18.992Z,N/A,N/A,"SOPHIE - Ponyboy",false,"United States",N/A,1709023356,"search / search_landing / artist_detail",2025-05-05T16:12:18.992Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2025-05-05T16:13:44.854Z,2025-05-05T16:13:45.526Z,2025-05-05T16:13:42.525Z,38230,38230,194438,AUDIO,0,2,2,40559
2025-05-05T16:13:30.295Z,Album,"SOPHIE - SOPHIE","SOPHIE & Jozzy - RAWWWWWW",false,"United States",1766808387,1766808398,"search / artist_detail / album_detail",2025-05-05T16:13:30.295Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2025-05-05T16:13:41.808Z,2025-05-05T16:13:42.047Z,2025-05-05T16:13:30.295Z,11513,11513,173625,AUDIO,0,1,1,11513
